"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-01","7.38",",,X"," 1545",",,X"," 1532",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","39",",,W","46",",,0","31",",,0",,,"  180",",,X","  170",",,X","0.0",",,0","15.0",",,X","17.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-02","7.61",",,X"," 1826",",,X"," 1837",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","46",",,W","54",",,0","37",",,0",,,"  180",",,X","  180",",,X","0.0",",,0","21.0",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-03","3.13",",,X"," 1045",",,X"," 0934",",,W","0.00","T,,0,2400","0.0",",,0,","0.0",",,0,","53",",,W","60",",,0","46",",,0",,,"  230",",,X","  240",",,X","0.0",",,0","10.1",",,X","13.0",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-04","14.54",",,X"," 1841",",,X"," 1840",",,W","0.62",",,0,2400","0.0",",,0,","0.0",",,0,","51",",,W","55",",,0","47",",,0",,,"  210",",,X","  210",",,X","0.0",",,0","31.1",",,X","40.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-05","17.67",",,X"," 0851",",,X"," 0858",",,W","0.04",",,0,2400","0.0",",,0,","0.0",",,0,","38",",,W","47",",,0","28",",,0",,,"  320",",,X","  300",",,X","0.0",",,0","28.0",",,X","40.0",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-06","10.51",",,X"," 1951",",,X"," 1951",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","33",",,W","42",",,0","23",",,0",,,"  200",",,X","  200",",,X","0.0",",,0","16.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-07","14.09",",,X"," 1545",",,X"," 1540",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","42",",,W","49",",,0","35",",,0",,,"  270",",,X","  290",",,X","0.0",",,0","31.1",",,X","40.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-08","13.42",",,X"," 2352",",,X"," 0531",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","34",",,W","38",",,0","29",",,0",,,"  300",",,X","  290",",,X","0.0",",,0","23.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-09","7.16",",,X"," 0233",",,X"," 0205",",,W","0.01",",,0,2400","0.0",",,0,","0.0",",,0,","43",",,W","49",",,0","37",",,0",,,"  220",",,X","  220",",,X","0.0",",,0","16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-10","15.43",",,X"," 1703",",,X"," 1525",",,W","0.58",",,0,2400","0.0",",,0,","0.0",",,0,","49",",,W","55",",,0","42",",,0",,,"  180",",,X","  120",",,X","0.0",",,0","34.0",",,X","40.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-11","20.80",",,X"," 1206",",,X"," 1205",",,W","0.00","T,,0,2400","0.0",",,0,","0.0",",,0,","47",",,W","53",",,0","40",",,0",,,"  240",",,X","  240",",,X","0.0",",,0","44.1",",,X","49.0",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-12","17.00",",,X"," 2354",",,X"," 0524",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","44",",,W","48",",,0","39",",,0",,,"  260",",,X","  290",",,X","0.0",",,0","31.1",",,X","38.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-13","16.11",",,X"," 1954",",,X"," 2027",",,W","0.01",",,0,2400","0.3",",,0,","0.0",",,0,","29",",,W","40",",,0","18",",,0",,,"  310",",,X","  340",",,X","0.0",",,0","34.0",",,X","40.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-14","25.28",",,X"," 1229",",,X"," 1229",",,W","0.00",",,0,2400","0.0",",,0,","0.0","T,,0,","19",",,W","23",",,0","14",",,0",,,"  290",",,X","  290",",,X","0.0",",,0","36.0",",,X","40.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-15","9.84",",,X"," 0102",",,X"," 0105",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","24",",,W","31",",,0","16",",,0",,,"  310",",,X","  310",",,X","0.0",",,0","25.9",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-16","21.25",",,X"," 1935",",,X"," 2123",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","35",",,W","47",",,0","22",",,0",,,"  310",",,X","  310",",,X","0.0",",,0","45.0",",,X","51.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-17","24.61",",,X"," 0405",",,X"," 0404",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","15",",,W","22",",,0","8",",,0",,,"  320",",,X","  320",",,X","0.0",",,0","40.0",",,X","49.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-18","12.75",",,X"," 0128",",,X"," 0219",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","12",",,W","19",",,0","4",",,0",,,"  330",",,X","  330",",,X","0.0",",,0","23.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-19","9.84",",,X"," 1829",",,X"," 1832",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","20",",,W","30",",,0","10",",,0",,,"  300",",,X","  320",",,X","0.0",",,0","16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-20","13.42",",,X"," 2342",",,X"," 2342",",,W","0.09",",,0,2400","1.4",",,0,","0.0","T,,0,","24",",,W","28",",,0","20",",,0",,,"  310",",,X","  310",",,X","0.0",",,0","21.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-21","27.29",",,X"," 1901",",,X"," 1912",",,W","0.00",",,0,2400","0.0",",,0,","1.0",",,0,","17",",,W","24",",,0","10",",,0",,,"  290",",,X","  290",",,X","0.0",",,0","38.9",",,X","47.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-22","18.79",",,X"," 1022",",,X"," 0314",",,W","0.00",",,0,2400","0.0",",,0,","1.0",",,0,","15",",,W","21",",,0","9",",,0",,,"  300",",,X","  280",",,X","0.0",",,0","32.0",",,X","40.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-23","7.38",",,X"," 1853",",,X"," 2243",",,W","0.01",",,0,2400","0.2",",,0,","1.0",",,0,","22",",,W","27",",,0","16",",,0",,,"   50",",,X","   30",",,X","0.0",",,0","14.1",",,X","15.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-24","7.61",",,X"," 2341",",,X"," 2340",",,W","0.00","T,,0,2400","0.0","T,,0,","1.0",",,0,","30",",,W","36",",,0","24",",,0",,,"   30",",,X","   30",",,X","0.0",",,0","19.9",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-25","308.03",",X,X"," 1217",",,X"," 0944",",,W","0.53",",,0,2400","6.2",",,0,","2.0",",,0,","30",",,W","33",",,0","26",",,0",,,"   20",",,X","   20",",,X","0.4",",,0","34.0",",,X","44.1",",,X","    1",",,0",,,,,"    1",",,0",,,"    1",",,0",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X","    1",",,0","    1",",,X","    1",",,0",,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-26","14.54",",,X"," 2001",",,X"," 2000",",,W","0.01",",,0,2400","0.2",",,0,","6.0",",,0,","27",",,W","31",",,0","22",",,0",,,"  310",",,X","  310",",,X","0.5",",,0","23.9",",,X","25.9",",,X","    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-27","22.59",",,X"," 1928",",,X"," 1928",",,W","0.00",",,0,2400","0.0",",,0,","6.0",",,0,","17",",,W","22",",,0","12",",,0",,,"  300",",,X","  290",",,X","0.4",",,0","31.1",",,X","36.9",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-28","20.80",",,X"," 0854",",,X"," 0854",",,W","0.00",",,0,2400","0.0",",,0,","6.0",",,0,","16",",,W","22",",,0","9",",,0",,,"  300",",,X","  300",",,X","0.4",",,0","32.0",",,X","38.0",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-29","10.96",",,X"," 0828",",,X"," 1341",",,W","0.00",",,0,2400","0.0",",,0,","5.0",",,0,","25",",,W","33",",,0","16",",,0",,,"  320",",,X","  330",",,X","0.4",",,0","17.9",",,X","21.9",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-30","6.04",",,X"," 2307",",,X"," 2316",",,W","0.46",",,0,2400","0.2",",,0,","5.0",",,0,","27",",,W","38",",,0","16",",,0",,,"   90",",,X","   90",",,X","0.4",",,0","28.0",",,X","34.0",",,X","    1",",,0",,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-01-31","17.90",",,X"," 1402",",,X"," 1616",",,W","0.10",",,0,2400","0.0",",,0,","4.0",",,0,","35",",,W","42",",,0","28",",,0",,,"  250",",,X","  250",",,X","1.8",",,0","30.0",",,X","34.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-01","17.45",",,X"," 2029",",,X"," 2212",",,W","0.00",",,0,2400","0.0",",,0,","3.0",",,0,","31",",,W","35",",,0","26",",,0",,,"  250",",,X","  270",",,X","1.9",",,0","23.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-02","22.37",",,X"," 0022",",,X"," 0033",",,W","0.00",",,0,2400","0.0",",,0,","2.0",",,0,","26",",,W","29",",,0","22",",,0",,,"  290",",,X","  290",",,X","1.3",",,0","32.0",",,X","40.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-03","8.05",",,X"," 0310",",,X"," 0309",",,W","0.08",",,0,2400","1.1",",,0,","2.0",",,0,","27",",,W","32",",,0","21",",,0",,,"  300",",,X","  300",",,X","1.0",",,0","21.0",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-04","4.70",",,X"," 0829",",,X"," 0828",",,W","0.01",",,0,2400","0.1",",,0,","3.0",",,0,","29",",,W","31",",,0","27",",,0",,,"   60",",,X","   60",",,X","0.8",",,0","14.1",",,X","16.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-05","14.32",",,X"," 0818",",,X"," 1637",",,W","0.00","T,,0,2400","0.0","T,,0,","2.0",",,0,","31",",,W","35",",,0","27",",,0",,,"  310",",,X","  260",",,X","0.0",",,0","23.9",",,X","28.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-06","17.00",",,X"," 0717",",,X"," 0716",",,W","0.00","T,,0,2400","0.0","T,,0,","1.0",",,0,","33",",,W","37",",,0","28",",,0",,,"  290",",,X","  270",",,X","0.0",",,0","29.1",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-07","18.34",",,X"," 1436",",,X"," 1516",",,W","0.00",",,0,2400","0.0",",,0,","1.0",",,0,","36",",,W","44",",,0","28",",,0",,,"  290",",,X","  290",",,X","0.0",",,0","29.1",",,X","34.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-08","9.84",",,X"," 2325",",,X"," 0036",",,W","0.00",",,0,2400","0.0",",,0,","0.0","T,,0,","25",",,W","29",",,0","20",",,0",,,"  210",",,X","  360",",,X","0.0",",,0","19.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-09","10.29",",,X"," 2359",",,X"," 2359",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","35",",,W","45",",,0","24",",,0",,,"  210",",,X","  220",",,X","0.0",",,0","19.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-10","8.50",",,X"," 1043",",,X"," 1024",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","40",",,W","50",",,0","29",",,0",,,"   70",",,X","   50",",,X","0.0",",,0","15.0",",,X","17.0",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-11","12.97",",,X"," 2122",",,X"," 2058",",,W","0.00","T,,0,2400","0.0",",,0,","0.0",",,0,","40",",,W","50",",,0","30",",,0",,,"  310",",,X","  300",",,X","0.0",",,0","32.0",",,X","36.9",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-12","8.28",",,X"," 0209",",,X"," 0209",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","28",",,W","32",",,0","24",",,0",,,"  320",",,X","  320",",,X","0.0",",,0","28.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-13","7.38",",,X"," 1408",",,X"," 1424",",,W","0.20",",,0,2400","0.0",",,0,","0.0",",,0,","30",",,W","39",",,0","21",",,0",,,"  120",",,X","  130",",,X","0.0",",,0","14.1",",,X","16.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-14","13.20",",,X"," 1000",",,X"," 0959",",,W","0.39",",,0,2400","0.0",",,0,","0.0",",,0,","45",",,W","50",",,0","39",",,0",,,"  180",",,X","  170",",,X","0.0",",,0","38.0",",,X","44.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2000-02-15","17.00",",,X"," 0354",",,X"," 0355",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,","37",",,W","44",",,0","29",",,0",,,"  310",",,X","  300",",,X","0.0",",,0","33.1",",,X","40.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
